Method,FracBelow50% $\downarrow$,UnderCovGap $\downarrow$,MacroCov $\uparrow$,MarginalCov (desired = 0.9),Avg. set size
Standard,0.428,0.424,0.496,0.907,1.64
Classwise,0.0,0.00734,0.971,0.908,718.0
Clustered,0.422,0.419,0.499,0.882,1.66
Standard w. PAS,0.119,0.138,0.821,0.9,3.89
Raw Fuzzy ($\sigma=0.00001$),0.125,0.14,0.818,0.903,5.33
Raw Fuzzy ($\sigma=0.01$),0.246,0.259,0.684,0.901,2.74
Raw Fuzzy ($\sigma=0.1$),0.312,0.323,0.61,0.9,2.3
Fuzzy ($\sigma=0.00001$),0.119,0.133,0.825,0.905,5.72
Fuzzy ($\sigma=0.01$),0.242,0.255,0.689,0.907,2.83
Fuzzy ($\sigma=0.1$),0.3,0.309,0.626,0.908,2.45
Interp-Q ($\tau=0.9$),0.239,0.255,0.683,0.901,2.46
Interp-Q ($\tau=0.99$),0.136,0.152,0.803,0.903,4.45
Interp-Q ($\tau=0.999$),0.0833,0.0972,0.867,0.905,8.95
